,browsing2-2.pcap
40013,"['93.184.221.133', 80, '10.152.152.11', 58005]"
40014,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
40015,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
40016,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
40017,"['93.184.221.133', 80, '10.152.152.11', 58000]"
40018,"['93.184.221.133', 80, '10.152.152.11', 58004]"
40019,"['54.239.221.178', 80, '10.152.152.11', 36735]"
40020,"['10.152.152.11', 36735, '54.239.221.178', 80]"
40021,"['10.152.152.11', 58000, '93.184.221.133', 80]"
40022,"['10.152.152.11', 58000, '93.184.221.133', 80]"
40023,"['10.152.152.11', 58000, '93.184.221.133', 80]"
40024,"['10.152.152.11', 58000, '93.184.221.133', 80]"
40025,"['10.152.152.11', 58000, '93.184.221.133', 80]"
40026,"['10.152.152.11', 58000, '93.184.221.133', 80]"
40027,"['93.184.221.133', 80, '10.152.152.11', 58000]"
40028,"['93.184.221.133', 80, '10.152.152.11', 58000]"
40029,"['93.184.221.133', 80, '10.152.152.11', 58000]"
40030,"['93.184.221.133', 80, '10.152.152.11', 58000]"
40031,"['93.184.221.133', 80, '10.152.152.11', 58000]"
40032,"['93.184.221.133', 80, '10.152.152.11', 58000]"
40033,"['10.152.152.11', 58004, '93.184.221.133', 80]"
40034,"['10.152.152.11', 58004, '93.184.221.133', 80]"
40035,"['10.152.152.11', 58004, '93.184.221.133', 80]"
40036,"['10.152.152.11', 58004, '93.184.221.133', 80]"
40037,"['93.184.221.133', 80, '10.152.152.11', 58004]"
40038,"['10.152.152.11', 58004, '93.184.221.133', 80]"
40039,"['10.152.152.11', 58004, '93.184.221.133', 80]"
40040,"['93.184.221.133', 80, '10.152.152.11', 58004]"
40041,"['93.184.221.133', 80, '10.152.152.11', 58004]"
40042,"['93.184.221.133', 80, '10.152.152.11', 58004]"
40043,"['93.184.221.133', 80, '10.152.152.11', 58004]"
40044,"['93.184.221.133', 80, '10.152.152.11', 58004]"
40045,"['10.152.152.11', 60583, '54.192.195.42', 80]"
40046,"['10.152.152.11', 60584, '54.192.195.42', 80]"
40047,"['54.192.195.42', 80, '10.152.152.11', 60583]"
40048,"['10.152.152.11', 60583, '54.192.195.42', 80]"
40049,"['10.152.152.11', 60585, '54.192.195.42', 80]"
40050,"['54.192.195.42', 80, '10.152.152.11', 60584]"
40051,"['10.152.152.11', 60584, '54.192.195.42', 80]"
40052,"['10.152.152.11', 60586, '54.192.195.42', 80]"
40053,"['54.192.195.42', 80, '10.152.152.11', 60585]"
40054,"['10.152.152.11', 60585, '54.192.195.42', 80]"
40055,"['54.192.195.42', 80, '10.152.152.11', 60586]"
40056,"['10.152.152.11', 60586, '54.192.195.42', 80]"
40057,"['10.152.152.11', 60583, '54.192.195.42', 80]"
40058,"['10.152.152.11', 60584, '54.192.195.42', 80]"
40059,"['54.192.195.42', 80, '10.152.152.11', 60583]"
40060,"['10.152.152.11', 60587, '54.192.195.42', 80]"
40061,"['54.192.195.42', 80, '10.152.152.11', 60584]"
40062,"['54.192.195.42', 80, '10.152.152.11', 60587]"
40063,"['10.152.152.11', 60587, '54.192.195.42', 80]"
40064,"['10.152.152.11', 60588, '54.192.195.42', 80]"
40065,"['54.192.195.42', 80, '10.152.152.11', 60588]"
40066,"['10.152.152.11', 60588, '54.192.195.42', 80]"
40067,"['10.152.152.11', 60585, '54.192.195.42', 80]"
40068,"['10.152.152.11', 60586, '54.192.195.42', 80]"
40069,"['54.192.195.42', 80, '10.152.152.11', 60585]"
40070,"['54.192.195.42', 80, '10.152.152.11', 60586]"
40071,"['10.152.152.11', 60587, '54.192.195.42', 80]"
40072,"['54.192.195.42', 80, '10.152.152.11', 60587]"
40073,"['10.152.152.11', 60588, '54.192.195.42', 80]"
40074,"['54.192.195.42', 80, '10.152.152.11', 60588]"
40075,"['149.126.77.43', 80, '10.152.152.11', 48952]"
40076,"['93.184.221.133', 80, '10.152.152.11', 58020]"
40077,"['10.152.152.11', 58020, '93.184.221.133', 80]"
40078,"['10.152.152.11', 58020, '93.184.221.133', 80]"
40079,"['10.152.152.11', 58020, '93.184.221.133', 80]"
40080,"['10.152.152.11', 58020, '93.184.221.133', 80]"
40081,"['93.184.221.133', 80, '10.152.152.11', 58020]"
40082,"['10.152.152.11', 58020, '93.184.221.133', 80]"
40083,"['10.152.152.11', 58020, '93.184.221.133', 80]"
40084,"['10.152.152.11', 58020, '93.184.221.133', 80]"
40085,"['93.184.221.133', 80, '10.152.152.11', 58020]"
40086,"['93.184.221.133', 80, '10.152.152.11', 58020]"
40087,"['93.184.221.133', 80, '10.152.152.11', 58020]"
40088,"['93.184.221.133', 80, '10.152.152.11', 58020]"
40089,"['93.184.221.133', 80, '10.152.152.11', 58020]"
40090,"['93.184.221.133', 80, '10.152.152.11', 58002]"
40091,"['216.58.213.234', 80, '10.152.152.11', 54733]"
40092,"['10.152.152.11', 54733, '216.58.213.234', 80]"
40093,"['10.152.152.11', 58002, '93.184.221.133', 80]"
40094,"['10.152.152.11', 58002, '93.184.221.133', 80]"
40095,"['10.152.152.11', 58002, '93.184.221.133', 80]"
40096,"['10.152.152.11', 58002, '93.184.221.133', 80]"
40097,"['10.152.152.11', 58002, '93.184.221.133', 80]"
40098,"['10.152.152.11', 58002, '93.184.221.133', 80]"
40099,"['93.184.221.133', 80, '10.152.152.11', 58002]"
40100,"['93.184.221.133', 80, '10.152.152.11', 58002]"
40101,"['93.184.221.133', 80, '10.152.152.11', 58002]"
40102,"['93.184.221.133', 80, '10.152.152.11', 58002]"
40103,"['93.184.221.133', 80, '10.152.152.11', 58002]"
40104,"['93.184.221.133', 80, '10.152.152.11', 58002]"
40105,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40106,"['10.152.152.11', 37744, '195.138.255.8', 80]"
40107,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40108,"['10.152.152.11', 37744, '195.138.255.8', 80]"
40109,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40110,"['10.152.152.11', 37744, '195.138.255.8', 80]"
40111,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40112,"['10.152.152.11', 37744, '195.138.255.8', 80]"
40113,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40114,"['10.152.152.11', 37744, '195.138.255.8', 80]"
40115,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40116,"['10.152.152.11', 37744, '195.138.255.8', 80]"
40117,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40118,"['10.152.152.11', 37744, '195.138.255.8', 80]"
40119,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40120,"['10.152.152.11', 37744, '195.138.255.8', 80]"
40121,"['10.152.152.11', 48952, '149.126.77.43', 80]"
40122,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40123,"['10.152.152.11', 37744, '195.138.255.8', 80]"
40124,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40125,"['10.152.152.11', 37744, '195.138.255.8', 80]"
40126,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40127,"['10.152.152.11', 37744, '195.138.255.8', 80]"
40128,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40129,"['10.152.152.11', 37744, '195.138.255.8', 80]"
40130,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40131,"['10.152.152.11', 37744, '195.138.255.8', 80]"
40132,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40133,"['10.152.152.11', 37744, '195.138.255.8', 80]"
40134,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40135,"['10.152.152.11', 37744, '195.138.255.8', 80]"
40136,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40137,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40138,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40139,"['10.152.152.11', 37744, '195.138.255.8', 80]"
40140,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40141,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40142,"['10.152.152.11', 37744, '195.138.255.8', 80]"
40143,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40144,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40145,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40146,"['10.152.152.11', 37744, '195.138.255.8', 80]"
40147,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40148,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40149,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40150,"['10.152.152.11', 37744, '195.138.255.8', 80]"
40151,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40152,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40153,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40154,"['10.152.152.11', 37744, '195.138.255.8', 80]"
40155,"['93.184.221.133', 80, '10.152.152.11', 58001]"
40156,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40157,"['195.138.255.8', 80, '10.152.152.11', 37744]"
40158,"['10.152.152.11', 37744, '195.138.255.8', 80]"
40159,"['10.152.152.11', 58001, '93.184.221.133', 80]"
40160,"['10.152.152.11', 58001, '93.184.221.133', 80]"
40161,"['10.152.152.11', 58001, '93.184.221.133', 80]"
40162,"['10.152.152.11', 58001, '93.184.221.133', 80]"
40163,"['10.152.152.11', 58001, '93.184.221.133', 80]"
40164,"['10.152.152.11', 58001, '93.184.221.133', 80]"
40165,"['93.184.221.133', 80, '10.152.152.11', 58001]"
40166,"['93.184.221.133', 80, '10.152.152.11', 58001]"
40167,"['93.184.221.133', 80, '10.152.152.11', 58001]"
40168,"['93.184.221.133', 80, '10.152.152.11', 58001]"
40169,"['93.184.221.133', 80, '10.152.152.11', 58001]"
40170,"['93.184.221.133', 80, '10.152.152.11', 58001]"
40171,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
40172,"['93.184.221.133', 80, '10.152.152.11', 58005]"
40173,"['10.152.152.11', 58005, '93.184.221.133', 80]"
40174,"['10.152.152.11', 58005, '93.184.221.133', 80]"
40175,"['10.152.152.11', 58005, '93.184.221.133', 80]"
40176,"['10.152.152.11', 58005, '93.184.221.133', 80]"
40177,"['10.152.152.11', 58005, '93.184.221.133', 80]"
40178,"['10.152.152.11', 58005, '93.184.221.133', 80]"
40179,"['93.184.221.133', 80, '10.152.152.11', 58005]"
40180,"['93.184.221.133', 80, '10.152.152.11', 58005]"
40181,"['93.184.221.133', 80, '10.152.152.11', 58005]"
40182,"['93.184.221.133', 80, '10.152.152.11', 58005]"
40183,"['93.184.221.133', 80, '10.152.152.11', 58005]"
40184,"['93.184.221.133', 80, '10.152.152.11', 58005]"
40185,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
40186,"['93.184.221.133', 80, '10.152.152.11', 58000]"
40187,"['10.152.152.11', 58000, '93.184.221.133', 80]"
40188,"['10.152.152.11', 58000, '93.184.221.133', 80]"
40189,"['10.152.152.11', 58000, '93.184.221.133', 80]"
40190,"['93.184.221.133', 80, '10.152.152.11', 58000]"
40191,"['93.184.221.133', 80, '10.152.152.11', 58000]"
40192,"['10.152.152.11', 58000, '93.184.221.133', 80]"
40193,"['93.184.221.133', 80, '10.152.152.11', 58000]"
40194,"['93.184.221.133', 80, '10.152.152.11', 58000]"
40195,"['10.152.152.11', 58000, '93.184.221.133', 80]"
40196,"['10.152.152.11', 58000, '93.184.221.133', 80]"
40197,"['93.184.221.133', 80, '10.152.152.11', 58000]"
40198,"['93.184.221.133', 80, '10.152.152.11', 58000]"
40199,"['93.184.221.133', 80, '10.152.152.11', 58004]"
40200,"['149.126.77.43', 80, '10.152.152.11', 48968]"
40201,"['10.152.152.11', 48968, '149.126.77.43', 80]"
40202,"['10.152.152.11', 58004, '93.184.221.133', 80]"
40203,"['10.152.152.11', 58004, '93.184.221.133', 80]"
40204,"['10.152.152.11', 58004, '93.184.221.133', 80]"
40205,"['10.152.152.11', 58004, '93.184.221.133', 80]"
40206,"['10.152.152.11', 58004, '93.184.221.133', 80]"
40207,"['10.152.152.11', 58004, '93.184.221.133', 80]"
40208,"['93.184.221.133', 80, '10.152.152.11', 58004]"
40209,"['93.184.221.133', 80, '10.152.152.11', 58004]"
40210,"['93.184.221.133', 80, '10.152.152.11', 58004]"
40211,"['93.184.221.133', 80, '10.152.152.11', 58004]"
40212,"['93.184.221.133', 80, '10.152.152.11', 58004]"
40213,"['93.184.221.133', 80, '10.152.152.11', 58004]"
40214,"['10.152.152.11', 42985, '199.181.133.61', 80]"
40215,"['199.181.133.61', 80, '10.152.152.11', 42985]"
40216,"['93.184.221.133', 80, '10.152.152.11', 58020]"
40217,"['93.184.221.133', 80, '10.152.152.11', 58002]"
40218,"['10.152.152.11', 58020, '93.184.221.133', 80]"
40219,"['10.152.152.11', 58020, '93.184.221.133', 80]"
40220,"['10.152.152.11', 58020, '93.184.221.133', 80]"
40221,"['10.152.152.11', 58020, '93.184.221.133', 80]"
40222,"['10.152.152.11', 58020, '93.184.221.133', 80]"
40223,"['10.152.152.11', 58020, '93.184.221.133', 80]"
40224,"['93.184.221.133', 80, '10.152.152.11', 58020]"
40225,"['93.184.221.133', 80, '10.152.152.11', 58020]"
40226,"['93.184.221.133', 80, '10.152.152.11', 58020]"
40227,"['93.184.221.133', 80, '10.152.152.11', 58020]"
40228,"['93.184.221.133', 80, '10.152.152.11', 58020]"
40229,"['93.184.221.133', 80, '10.152.152.11', 58020]"
40230,"['10.152.152.11', 58002, '93.184.221.133', 80]"
40231,"['10.152.152.11', 58002, '93.184.221.133', 80]"
40232,"['10.152.152.11', 58002, '93.184.221.133', 80]"
40233,"['10.152.152.11', 58002, '93.184.221.133', 80]"
40234,"['10.152.152.11', 58002, '93.184.221.133', 80]"
40235,"['10.152.152.11', 58002, '93.184.221.133', 80]"
40236,"['93.184.221.133', 80, '10.152.152.11', 58002]"
40237,"['93.184.221.133', 80, '10.152.152.11', 58002]"
40238,"['93.184.221.133', 80, '10.152.152.11', 58002]"
40239,"['93.184.221.133', 80, '10.152.152.11', 58002]"
40240,"['93.184.221.133', 80, '10.152.152.11', 58002]"
40241,"['93.184.221.133', 80, '10.152.152.11', 58002]"
40242,"['93.184.221.133', 80, '10.152.152.11', 58001]"
40243,"['10.152.152.11', 58001, '93.184.221.133', 80]"
40244,"['10.152.152.11', 58001, '93.184.221.133', 80]"
40245,"['10.152.152.11', 58001, '93.184.221.133', 80]"
40246,"['10.152.152.11', 58001, '93.184.221.133', 80]"
40247,"['10.152.152.11', 58001, '93.184.221.133', 80]"
40248,"['10.152.152.11', 58001, '93.184.221.133', 80]"
40249,"['93.184.221.133', 80, '10.152.152.11', 58001]"
40250,"['93.184.221.133', 80, '10.152.152.11', 58001]"
40251,"['93.184.221.133', 80, '10.152.152.11', 58001]"
40252,"['93.184.221.133', 80, '10.152.152.11', 58001]"
40253,"['93.184.221.133', 80, '10.152.152.11', 58001]"
40254,"['93.184.221.133', 80, '10.152.152.11', 58001]"
40255,"['93.184.221.133', 80, '10.152.152.11', 58005]"
40256,"['10.152.152.11', 58005, '93.184.221.133', 80]"
40257,"['10.152.152.11', 58005, '93.184.221.133', 80]"
40258,"['10.152.152.11', 58005, '93.184.221.133', 80]"
40259,"['10.152.152.11', 58005, '93.184.221.133', 80]"
40260,"['93.184.221.133', 80, '10.152.152.11', 58005]"
40261,"['10.152.152.11', 58005, '93.184.221.133', 80]"
40262,"['10.152.152.11', 58005, '93.184.221.133', 80]"
40263,"['93.184.221.133', 80, '10.152.152.11', 58005]"
40264,"['93.184.221.133', 80, '10.152.152.11', 58005]"
40265,"['93.184.221.133', 80, '10.152.152.11', 58005]"
40266,"['93.184.221.133', 80, '10.152.152.11', 58005]"
40267,"['93.184.221.133', 80, '10.152.152.11', 58005]"
40268,"['93.184.221.133', 80, '10.152.152.11', 58000]"
40269,"['10.152.152.11', 58000, '93.184.221.133', 80]"
40270,"['10.152.152.11', 58000, '93.184.221.133', 80]"
40271,"['10.152.152.11', 58000, '93.184.221.133', 80]"
40272,"['10.152.152.11', 58000, '93.184.221.133', 80]"
40273,"['10.152.152.11', 58000, '93.184.221.133', 80]"
40274,"['10.152.152.11', 58000, '93.184.221.133', 80]"
40275,"['93.184.221.133', 80, '10.152.152.11', 58000]"
40276,"['93.184.221.133', 80, '10.152.152.11', 58000]"
40277,"['93.184.221.133', 80, '10.152.152.11', 58000]"
40278,"['93.184.221.133', 80, '10.152.152.11', 58000]"
40279,"['93.184.221.133', 80, '10.152.152.11', 58000]"
40280,"['93.184.221.133', 80, '10.152.152.11', 58000]"
40281,"['93.184.221.133', 80, '10.152.152.11', 58004]"
40282,"['10.152.152.11', 58004, '93.184.221.133', 80]"
40283,"['10.152.152.11', 58004, '93.184.221.133', 80]"
40284,"['10.152.152.11', 58004, '93.184.221.133', 80]"
40285,"['10.152.152.11', 58004, '93.184.221.133', 80]"
40286,"['10.152.152.11', 58004, '93.184.221.133', 80]"
40287,"['10.152.152.11', 58004, '93.184.221.133', 80]"
40288,"['93.184.221.133', 80, '10.152.152.11', 58004]"
40289,"['93.184.221.133', 80, '10.152.152.11', 58004]"
40290,"['93.184.221.133', 80, '10.152.152.11', 58004]"
40291,"['93.184.221.133', 80, '10.152.152.11', 58004]"
40292,"['93.184.221.133', 80, '10.152.152.11', 58004]"
40293,"['93.184.221.133', 80, '10.152.152.11', 58004]"
40294,"['54.192.195.42', 80, '10.152.152.11', 60583]"
40295,"['10.152.152.11', 60583, '54.192.195.42', 80]"
40296,"['10.152.152.11', 60583, '54.192.195.42', 80]"
40297,"['54.192.195.42', 80, '10.152.152.11', 60583]"
40298,"['54.192.195.42', 80, '10.152.152.11', 60588]"
40299,"['10.152.152.11', 60588, '54.192.195.42', 80]"
40300,"['10.152.152.11', 60588, '54.192.195.42', 80]"
40301,"['54.192.195.42', 80, '10.152.152.11', 60588]"
40302,"['54.192.195.42', 80, '10.152.152.11', 60584]"
40303,"['10.152.152.11', 60584, '54.192.195.42', 80]"
40304,"['54.192.195.42', 80, '10.152.152.11', 60584]"
40305,"['10.152.152.11', 60584, '54.192.195.42', 80]"
40306,"['10.152.152.11', 60584, '54.192.195.42', 80]"
40307,"['54.192.195.42', 80, '10.152.152.11', 60584]"
40308,"['54.192.195.42', 80, '10.152.152.11', 60585]"
40309,"['10.152.152.11', 60585, '54.192.195.42', 80]"
40310,"['54.192.195.42', 80, '10.152.152.11', 60585]"
40311,"['10.152.152.11', 60585, '54.192.195.42', 80]"
40312,"['54.192.195.42', 80, '10.152.152.11', 60585]"
40313,"['10.152.152.11', 60585, '54.192.195.42', 80]"
40314,"['54.192.195.42', 80, '10.152.152.11', 60585]"
40315,"['10.152.152.11', 60585, '54.192.195.42', 80]"
40316,"['54.192.195.42', 80, '10.152.152.11', 60585]"
40317,"['10.152.152.11', 60585, '54.192.195.42', 80]"
40318,"['54.192.195.42', 80, '10.152.152.11', 60585]"
40319,"['10.152.152.11', 60585, '54.192.195.42', 80]"
40320,"['54.192.195.42', 80, '10.152.152.11', 60585]"
40321,"['10.152.152.11', 60585, '54.192.195.42', 80]"
40322,"['54.192.195.42', 80, '10.152.152.11', 60585]"
40323,"['10.152.152.11', 60585, '54.192.195.42', 80]"
40324,"['54.192.195.42', 80, '10.152.152.11', 60585]"
40325,"['10.152.152.11', 60585, '54.192.195.42', 80]"
40326,"['54.192.195.42', 80, '10.152.152.11', 60585]"
40327,"['10.152.152.11', 60585, '54.192.195.42', 80]"
40328,"['54.192.195.42', 80, '10.152.152.11', 60585]"
40329,"['10.152.152.11', 60585, '54.192.195.42', 80]"
40330,"['54.192.195.42', 80, '10.152.152.11', 60585]"
40331,"['10.152.152.11', 60585, '54.192.195.42', 80]"
40332,"['54.192.195.42', 80, '10.152.152.11', 60585]"
40333,"['10.152.152.11', 60585, '54.192.195.42', 80]"
40334,"['54.192.195.42', 80, '10.152.152.11', 60586]"
40335,"['10.152.152.11', 60586, '54.192.195.42', 80]"
40336,"['54.192.195.42', 80, '10.152.152.11', 60586]"
40337,"['10.152.152.11', 60586, '54.192.195.42', 80]"
40338,"['54.192.195.42', 80, '10.152.152.11', 60586]"
40339,"['10.152.152.11', 60586, '54.192.195.42', 80]"
40340,"['54.192.195.42', 80, '10.152.152.11', 60586]"
40341,"['10.152.152.11', 60586, '54.192.195.42', 80]"
40342,"['54.192.195.42', 80, '10.152.152.11', 60586]"
40343,"['10.152.152.11', 60586, '54.192.195.42', 80]"
40344,"['54.192.195.42', 80, '10.152.152.11', 60586]"
40345,"['10.152.152.11', 60586, '54.192.195.42', 80]"
40346,"['10.152.152.11', 60586, '54.192.195.42', 80]"
40347,"['54.192.195.42', 80, '10.152.152.11', 60586]"
40348,"['54.192.195.42', 80, '10.152.152.11', 60587]"
40349,"['10.152.152.11', 60587, '54.192.195.42', 80]"
40350,"['54.192.195.42', 80, '10.152.152.11', 60587]"
40351,"['10.152.152.11', 60587, '54.192.195.42', 80]"
40352,"['54.192.195.42', 80, '10.152.152.11', 60587]"
40353,"['10.152.152.11', 60587, '54.192.195.42', 80]"
40354,"['54.192.195.42', 80, '10.152.152.11', 60587]"
40355,"['10.152.152.11', 60587, '54.192.195.42', 80]"
40356,"['54.192.195.42', 80, '10.152.152.11', 60587]"
40357,"['10.152.152.11', 60587, '54.192.195.42', 80]"
40358,"['54.192.195.42', 80, '10.152.152.11', 60587]"
40359,"['10.152.152.11', 60587, '54.192.195.42', 80]"
40360,"['54.192.195.42', 80, '10.152.152.11', 60587]"
40361,"['10.152.152.11', 60587, '54.192.195.42', 80]"
40362,"['54.192.195.42', 80, '10.152.152.11', 60587]"
40363,"['10.152.152.11', 60587, '54.192.195.42', 80]"
40364,"['54.192.195.42', 80, '10.152.152.11', 60587]"
40365,"['10.152.152.11', 60587, '54.192.195.42', 80]"
40366,"['54.192.195.42', 80, '10.152.152.11', 60587]"
40367,"['10.152.152.11', 60587, '54.192.195.42', 80]"
40368,"['54.192.195.42', 80, '10.152.152.11', 60587]"
40369,"['10.152.152.11', 60587, '54.192.195.42', 80]"
40370,"['54.192.195.42', 80, '10.152.152.11', 60587]"
40371,"['10.152.152.11', 60587, '54.192.195.42', 80]"
40372,"['93.184.221.133', 80, '10.152.152.11', 58020]"
40373,"['10.152.152.11', 58020, '93.184.221.133', 80]"
40374,"['10.152.152.11', 58020, '93.184.221.133', 80]"
40375,"['10.152.152.11', 58020, '93.184.221.133', 80]"
40376,"['10.152.152.11', 58020, '93.184.221.133', 80]"
40377,"['10.152.152.11', 58020, '93.184.221.133', 80]"
40378,"['10.152.152.11', 58020, '93.184.221.133', 80]"
40379,"['93.184.221.133', 80, '10.152.152.11', 58002]"
40380,"['54.192.195.42', 80, '10.152.152.11', 60585]"
40381,"['54.192.195.42', 80, '10.152.152.11', 60585]"
40382,"['10.152.152.11', 60585, '54.192.195.42', 80]"
40383,"['54.192.195.42', 80, '10.152.152.11', 60585]"
40384,"['54.192.195.42', 80, '10.152.152.11', 60585]"
40385,"['10.152.152.11', 60585, '54.192.195.42', 80]"
40386,"['10.152.152.11', 58002, '93.184.221.133', 80]"
40387,"['93.184.221.133', 80, '10.152.152.11', 58020]"
40388,"['93.184.221.133', 80, '10.152.152.11', 58020]"
40389,"['93.184.221.133', 80, '10.152.152.11', 58020]"
40390,"['93.184.221.133', 80, '10.152.152.11', 58020]"
40391,"['93.184.221.133', 80, '10.152.152.11', 58020]"
40392,"['93.184.221.133', 80, '10.152.152.11', 58020]"
40393,"['54.192.195.42', 80, '10.152.152.11', 60585]"
40394,"['93.184.221.133', 80, '10.152.152.11', 58002]"
40395,"['10.152.152.11', 58002, '93.184.221.133', 80]"
40396,"['10.152.152.11', 58002, '93.184.221.133', 80]"
40397,"['93.184.221.133', 80, '10.152.152.11', 58002]"
40398,"['93.184.221.133', 80, '10.152.152.11', 58002]"
40399,"['10.152.152.11', 58002, '93.184.221.133', 80]"
40400,"['10.152.152.11', 58002, '93.184.221.133', 80]"
40401,"['93.184.221.133', 80, '10.152.152.11', 58002]"
40402,"['93.184.221.133', 80, '10.152.152.11', 58002]"
40403,"['10.152.152.11', 58002, '93.184.221.133', 80]"
40404,"['93.184.221.133', 80, '10.152.152.11', 58002]"
40405,"['10.152.152.11', 60585, '54.192.195.42', 80]"
40406,"['54.192.195.42', 80, '10.152.152.11', 60585]"
40407,"['54.192.195.42', 80, '10.152.152.11', 60585]"
40408,"['54.192.195.42', 80, '10.152.152.11', 60585]"
40409,"['10.152.152.11', 60585, '54.192.195.42', 80]"
40410,"['10.152.152.11', 60585, '54.192.195.42', 80]"
40411,"['54.192.195.42', 80, '10.152.152.11', 60585]"
40412,"['54.192.195.42', 80, '10.152.152.11', 60587]"
40413,"['10.152.152.11', 60587, '54.192.195.42', 80]"
40414,"['93.184.221.133', 80, '10.152.152.11', 58001]"
40415,"['10.152.152.11', 58001, '93.184.221.133', 80]"
40416,"['10.152.152.11', 58001, '93.184.221.133', 80]"
40417,"['10.152.152.11', 58001, '93.184.221.133', 80]"
40418,"['10.152.152.11', 58001, '93.184.221.133', 80]"
40419,"['10.152.152.11', 58001, '93.184.221.133', 80]"
40420,"['10.152.152.11', 58001, '93.184.221.133', 80]"
40421,"['93.184.221.133', 80, '10.152.152.11', 58001]"
40422,"['93.184.221.133', 80, '10.152.152.11', 58001]"
40423,"['93.184.221.133', 80, '10.152.152.11', 58001]"
40424,"['93.184.221.133', 80, '10.152.152.11', 58001]"
40425,"['93.184.221.133', 80, '10.152.152.11', 58001]"
40426,"['93.184.221.133', 80, '10.152.152.11', 58001]"
40427,"['10.152.152.11', 60587, '54.192.195.42', 80]"
40428,"['54.192.195.42', 80, '10.152.152.11', 60587]"
40429,"['93.184.221.133', 80, '10.152.152.11', 58005]"
40430,"['10.152.152.11', 58005, '93.184.221.133', 80]"
40431,"['10.152.152.11', 58005, '93.184.221.133', 80]"
40432,"['10.152.152.11', 58005, '93.184.221.133', 80]"
40433,"['10.152.152.11', 58005, '93.184.221.133', 80]"
40434,"['10.152.152.11', 58005, '93.184.221.133', 80]"
40435,"['10.152.152.11', 58005, '93.184.221.133', 80]"
40436,"['93.184.221.133', 80, '10.152.152.11', 58005]"
40437,"['93.184.221.133', 80, '10.152.152.11', 58005]"
40438,"['93.184.221.133', 80, '10.152.152.11', 58005]"
40439,"['93.184.221.133', 80, '10.152.152.11', 58005]"
40440,"['93.184.221.133', 80, '10.152.152.11', 58005]"
40441,"['93.184.221.133', 80, '10.152.152.11', 58005]"
40442,"['93.184.221.133', 80, '10.152.152.11', 58000]"
40443,"['10.152.152.11', 58000, '93.184.221.133', 80]"
40444,"['10.152.152.11', 58000, '93.184.221.133', 80]"
40445,"['10.152.152.11', 58000, '93.184.221.133', 80]"
40446,"['10.152.152.11', 58000, '93.184.221.133', 80]"
40447,"['10.152.152.11', 58000, '93.184.221.133', 80]"
40448,"['10.152.152.11', 58000, '93.184.221.133', 80]"
40449,"['93.184.221.133', 80, '10.152.152.11', 58000]"
40450,"['93.184.221.133', 80, '10.152.152.11', 58000]"
40451,"['93.184.221.133', 80, '10.152.152.11', 58000]"
40452,"['93.184.221.133', 80, '10.152.152.11', 58000]"
40453,"['93.184.221.133', 80, '10.152.152.11', 58000]"
40454,"['93.184.221.133', 80, '10.152.152.11', 58000]"
40455,"['93.184.221.133', 80, '10.152.152.11', 58004]"
40456,"['54.192.195.42', 80, '10.152.152.11', 60583]"
40457,"['10.152.152.11', 58004, '93.184.221.133', 80]"
40458,"['10.152.152.11', 58004, '93.184.221.133', 80]"
40459,"['10.152.152.11', 58004, '93.184.221.133', 80]"
40460,"['10.152.152.11', 58004, '93.184.221.133', 80]"
40461,"['10.152.152.11', 58004, '93.184.221.133', 80]"
40462,"['10.152.152.11', 58004, '93.184.221.133', 80]"
