,facebookchat.pcap
4484,"['10.152.152.11', 41064, '31.13.93.7', 443]"
4485,"['31.13.93.7', 443, '10.152.152.11', 41064]"
4486,"['10.152.152.11', 41064, '31.13.93.7', 443]"
4487,"['31.13.93.7', 443, '10.152.152.11', 41064]"
4488,"['10.152.152.11', 41064, '31.13.93.7', 443]"
4489,"['31.13.93.7', 443, '10.152.152.11', 41064]"
4490,"['31.13.93.7', 443, '10.152.152.11', 41064]"
4491,"['31.13.93.7', 443, '10.152.152.11', 41064]"
4492,"['10.152.152.11', 41064, '31.13.93.7', 443]"
4493,"['31.13.93.7', 443, '10.152.152.11', 41068]"
4494,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4495,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4496,"['31.13.93.7', 443, '10.152.152.11', 41064]"
4497,"['10.152.152.11', 41064, '31.13.93.7', 443]"
4498,"['10.152.152.11', 41068, '31.13.93.7', 443]"
4499,"['173.194.112.101', 443, '10.152.152.11', 48612]"
4500,"['10.152.152.11', 48612, '173.194.112.101', 443]"
4501,"['173.194.112.101', 443, '10.152.152.11', 48612]"
4502,"['10.152.152.11', 48612, '173.194.112.101', 443]"
4503,"['173.194.112.101', 443, '10.152.152.11', 48612]"
4504,"['10.152.152.11', 48612, '173.194.112.101', 443]"
4505,"['173.194.112.101', 443, '10.152.152.11', 48612]"
4506,"['10.152.152.11', 48612, '173.194.112.101', 443]"
4507,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4508,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4509,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4510,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4511,"['10.152.152.11', 48612, '173.194.112.101', 443]"
4512,"['173.194.112.101', 443, '10.152.152.11', 48612]"
4513,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4514,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4515,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4516,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4517,"['2.22.9.138', 443, '10.152.152.11', 55260]"
4518,"['10.152.152.11', 55260, '2.22.9.138', 443]"
4519,"['10.152.152.11', 55260, '2.22.9.138', 443]"
4520,"['10.152.152.11', 55260, '2.22.9.138', 443]"
4521,"['2.22.9.138', 443, '10.152.152.11', 55260]"
4522,"['2.22.9.138', 443, '10.152.152.11', 55260]"
4523,"['2.22.9.138', 443, '10.152.152.11', 55260]"
4524,"['10.152.152.11', 55260, '2.22.9.138', 443]"
4525,"['2.22.9.138', 443, '10.152.152.11', 55260]"
4526,"['173.194.112.101', 443, '10.152.152.11', 48612]"
4527,"['10.152.152.11', 48612, '173.194.112.101', 443]"
4528,"['10.152.152.11', 48612, '173.194.112.101', 443]"
4529,"['10.152.152.11', 48612, '173.194.112.101', 443]"
4530,"['10.152.152.11', 48612, '173.194.112.101', 443]"
4531,"['173.194.112.101', 443, '10.152.152.11', 48612]"
4532,"['173.194.112.101', 443, '10.152.152.11', 48612]"
4533,"['173.194.112.101', 443, '10.152.152.11', 48612]"
4534,"['173.194.112.101', 443, '10.152.152.11', 48612]"
4535,"['10.152.152.11', 48612, '173.194.112.101', 443]"
4536,"['173.194.112.101', 443, '10.152.152.11', 48612]"
4537,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4538,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4539,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4540,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4541,"['2.22.9.138', 443, '10.152.152.11', 55260]"
4542,"['10.152.152.11', 55260, '2.22.9.138', 443]"
4543,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4544,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4545,"['2.22.9.138', 443, '10.152.152.11', 55260]"
4546,"['10.152.152.11', 55260, '2.22.9.138', 443]"
4547,"['173.194.112.101', 443, '10.152.152.11', 48612]"
4548,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4549,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4550,"['10.152.152.11', 48612, '173.194.112.101', 443]"
4551,"['173.194.112.101', 443, '10.152.152.11', 48612]"
4552,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4553,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4554,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4555,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4556,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4557,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4558,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4559,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4560,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4561,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4562,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4563,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4564,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4565,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4566,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4567,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4568,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
4569,"['10.152.152.11', 59467, '2.22.9.131', 443]"
4570,"['10.152.152.11', 59467, '2.22.9.131', 443]"
4571,"['10.152.152.11', 59467, '2.22.9.131', 443]"
4572,"['2.22.9.131', 443, '10.152.152.11', 59467]"
4573,"['2.22.9.131', 443, '10.152.152.11', 59467]"
4574,"['2.22.9.131', 443, '10.152.152.11', 59467]"
4575,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
4576,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4577,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4578,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4579,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4580,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4581,"['2.22.9.131', 443, '10.152.152.11', 59467]"
4582,"['10.152.152.11', 59467, '2.22.9.131', 443]"
4583,"['2.22.9.131', 443, '10.152.152.11', 59467]"
4584,"['10.152.152.11', 59467, '2.22.9.131', 443]"
4585,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4586,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4587,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4588,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4589,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4590,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4591,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4592,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4593,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4594,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4595,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4596,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4597,"['10.152.152.11', 53258, '2.22.9.155', 443]"
4598,"['2.22.9.155', 443, '10.152.152.11', 53258]"
4599,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4600,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4601,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4602,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4603,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4604,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4605,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4606,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4607,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4608,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4609,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4610,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4611,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4612,"['10.152.152.11', 53259, '2.22.9.155', 443]"
4613,"['2.22.9.155', 443, '10.152.152.11', 53259]"
4614,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4615,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4616,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4617,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4618,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4619,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4620,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4621,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4622,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4623,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4624,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4625,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4626,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4627,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4628,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4629,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4630,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4631,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4632,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4633,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4634,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4635,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4636,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4637,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4638,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4639,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4640,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4641,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4642,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4643,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4644,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4645,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4646,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4647,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4648,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4649,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4650,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4651,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4652,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4653,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4654,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4655,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4656,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4657,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4658,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4659,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4660,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4661,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4662,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4663,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4664,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4665,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4666,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
4667,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4668,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4669,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4670,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4671,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4672,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4673,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
4674,"['10.152.152.11', 'xxxx', '173.194.112.98', 'xxxx']"
4675,"['10.152.152.11', 49517, '173.194.112.98', 443]"
4676,"['173.194.112.98', 443, '10.152.152.11', 49517]"
4677,"['10.152.152.11', 49517, '173.194.112.98', 443]"
4678,"['10.152.152.11', 49517, '173.194.112.98', 443]"
4679,"['173.194.112.98', 443, '10.152.152.11', 49517]"
4680,"['10.152.152.11', 'xxxx', '173.194.112.98', 'xxxx']"
4681,"['10.152.152.11', 'xxxx', '173.194.112.98', 'xxxx']"
4682,"['173.194.112.98', 443, '10.152.152.11', 49517]"
4683,"['10.152.152.11', 49517, '173.194.112.98', 443]"
4684,"['173.194.112.98', 443, '10.152.152.11', 49517]"
4685,"['10.152.152.11', 49517, '173.194.112.98', 443]"
4686,"['173.194.112.98', 443, '10.152.152.11', 49517]"
4687,"['10.152.152.11', 49517, '173.194.112.98', 443]"
4688,"['173.194.112.98', 443, '10.152.152.11', 49517]"
4689,"['10.152.152.11', 49517, '173.194.112.98', 443]"
4690,"['10.152.152.11', 49517, '173.194.112.98', 443]"
4691,"['173.194.112.98', 443, '10.152.152.11', 49517]"
4692,"['173.194.112.98', 443, '10.152.152.11', 49517]"
4693,"['10.152.152.11', 49517, '173.194.112.98', 443]"
4694,"['10.152.152.11', 49517, '173.194.112.98', 443]"
4695,"['173.194.112.98', 443, '10.152.152.11', 49517]"
4696,"['10.152.152.11', 49517, '173.194.112.98', 443]"
4697,"['173.194.112.98', 443, '10.152.152.11', 49517]"
4698,"['173.194.112.98', 443, '10.152.152.11', 49517]"
4699,"['10.152.152.11', 49517, '173.194.112.98', 443]"
4700,"['10.152.152.11', 49517, '173.194.112.98', 443]"
4701,"['173.194.112.98', 443, '10.152.152.11', 49517]"
4702,"['10.152.152.11', 49517, '173.194.112.98', 443]"
4703,"['10.152.152.11', 49517, '173.194.112.98', 443]"
4704,"['10.152.152.11', 49517, '173.194.112.98', 443]"
4705,"['173.194.112.98', 443, '10.152.152.11', 49517]"
4706,"['173.194.112.98', 443, '10.152.152.11', 49517]"
4707,"['173.194.112.98', 443, '10.152.152.11', 49517]"
4708,"['173.194.112.98', 443, '10.152.152.11', 49517]"
4709,"['10.152.152.11', 'xxxx', '173.194.112.98', 'xxxx']"
4710,"['173.194.112.98', 443, '10.152.152.11', 49517]"
4711,"['173.194.112.98', 443, '10.152.152.11', 49517]"
4712,"['10.152.152.11', 49517, '173.194.112.98', 443]"
4713,"['173.194.112.98', 443, '10.152.152.11', 49517]"
4714,"['10.152.152.11', 49517, '173.194.112.98', 443]"
4715,"['173.194.112.98', 443, '10.152.152.11', 49517]"
4716,"['10.152.152.11', 49517, '173.194.112.98', 443]"
4717,"['10.152.152.11', 49517, '173.194.112.98', 443]"
4718,"['10.152.152.11', 49517, '173.194.112.98', 443]"
4719,"['173.194.112.98', 443, '10.152.152.11', 49517]"
4720,"['173.194.112.98', 443, '10.152.152.11', 49517]"
4721,"['10.152.152.11', 49517, '173.194.112.98', 443]"
4722,"['173.194.112.98', 443, '10.152.152.11', 49517]"
4723,"['173.194.112.98', 443, '10.152.152.11', 49517]"
4724,"['10.152.152.11', 49517, '173.194.112.98', 443]"
4725,"['173.194.112.98', 443, '10.152.152.11', 49517]"
4726,"['10.152.152.11', 'xxxx', '173.194.112.98', 'xxxx']"
4727,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4728,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4729,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4730,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4731,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4732,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4733,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4734,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4735,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4736,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4737,"['10.152.152.11', 'xxxx', '173.194.112.98', 'xxxx']"
4738,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
4739,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4740,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4741,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
4742,"['10.152.152.11', 53342, '31.13.93.3', 443]"
4743,"['31.13.93.3', 443, '10.152.152.11', 53342]"
4744,"['10.152.152.11', 53342, '31.13.93.3', 443]"
4745,"['10.152.152.11', 53342, '31.13.93.3', 443]"
4746,"['31.13.93.3', 443, '10.152.152.11', 53342]"
4747,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4748,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4749,"['31.13.93.3', 443, '10.152.152.11', 53342]"
4750,"['10.152.152.11', 53342, '31.13.93.3', 443]"
4751,"['31.13.93.3', 443, '10.152.152.11', 53342]"
4752,"['10.152.152.11', 53342, '31.13.93.3', 443]"
4753,"['31.13.93.3', 443, '10.152.152.11', 53342]"
4754,"['10.152.152.11', 53342, '31.13.93.3', 443]"
4755,"['10.152.152.11', 53342, '31.13.93.3', 443]"
4756,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4757,"['31.13.93.3', 443, '10.152.152.11', 53342]"
4758,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4759,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4760,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4761,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4762,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4763,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4764,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4765,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4766,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4767,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4768,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4769,"['31.13.93.3', 443, '10.152.152.11', 53342]"
4770,"['10.152.152.11', 53342, '31.13.93.3', 443]"
4771,"['31.13.93.3', 443, '10.152.152.11', 53342]"
4772,"['10.152.152.11', 53342, '31.13.93.3', 443]"
4773,"['31.13.93.3', 443, '10.152.152.11', 53342]"
4774,"['10.152.152.11', 53342, '31.13.93.3', 443]"
4775,"['31.13.93.3', 443, '10.152.152.11', 53342]"
4776,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4777,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4778,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4779,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4780,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4781,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4782,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4783,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4784,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4785,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4786,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4787,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4788,"['31.13.93.3', 443, '10.152.152.11', 53342]"
4789,"['10.152.152.11', 53342, '31.13.93.3', 443]"
4790,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4791,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4792,"['31.13.93.3', 443, '10.152.152.11', 53342]"
4793,"['10.152.152.11', 53342, '31.13.93.3', 443]"
4794,"['10.152.152.11', 43050, '2.22.9.145', 443]"
4795,"['2.22.9.145', 443, '10.152.152.11', 43050]"
4796,"['10.152.152.11', 43050, '2.22.9.145', 443]"
4797,"['10.152.152.11', 43051, '2.22.9.145', 443]"
4798,"['10.152.152.11', 59468, '2.22.9.131', 443]"
4799,"['10.152.152.11', 59470, '2.22.9.131', 443]"
4800,"['2.22.9.145', 443, '10.152.152.11', 43051]"
4801,"['10.152.152.11', 43051, '2.22.9.145', 443]"
4802,"['2.22.9.131', 443, '10.152.152.11', 59468]"
4803,"['10.152.152.11', 59468, '2.22.9.131', 443]"
4804,"['2.22.9.131', 443, '10.152.152.11', 59470]"
4805,"['10.152.152.11', 59470, '2.22.9.131', 443]"
4806,"['10.152.152.11', 59469, '2.22.9.131', 443]"
4807,"['10.152.152.11', 59471, '2.22.9.131', 443]"
4808,"['2.22.9.131', 443, '10.152.152.11', 59469]"
4809,"['10.152.152.11', 59469, '2.22.9.131', 443]"
4810,"['2.22.9.131', 443, '10.152.152.11', 59471]"
4811,"['10.152.152.11', 59471, '2.22.9.131', 443]"
4812,"['10.152.152.11', 59472, '2.22.9.131', 443]"
4813,"['10.152.152.11', 41065, '31.13.93.7', 443]"
4814,"['2.22.9.131', 443, '10.152.152.11', 59472]"
4815,"['10.152.152.11', 59472, '2.22.9.131', 443]"
4816,"['10.152.152.11', 41066, '31.13.93.7', 443]"
4817,"['10.152.152.11', 41067, '31.13.93.7', 443]"
4818,"['10.152.152.11', 41068, '31.13.93.7', 443]"
4819,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4820,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4821,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4822,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4823,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4824,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4825,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4826,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4827,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4828,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4829,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4830,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4831,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4832,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4833,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4834,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4835,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4836,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4837,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4838,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4839,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4840,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4841,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4842,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4843,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4844,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4845,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4846,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4847,"['31.13.93.3', 443, '10.152.152.11', 53342]"
4848,"['10.152.152.11', 53342, '31.13.93.3', 443]"
4849,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4850,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4851,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4852,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4853,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4854,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4855,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4856,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4857,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4858,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4859,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4860,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4861,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4862,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4863,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4864,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4865,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4866,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4867,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4868,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4869,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4870,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4871,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4872,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4873,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4874,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4875,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4876,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4877,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4878,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4879,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4880,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4881,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4882,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4883,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4884,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4885,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4886,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4887,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4888,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4889,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4890,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4891,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4892,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4893,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4894,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4895,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4896,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4897,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4898,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4899,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4900,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4901,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4902,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4903,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4904,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4905,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4906,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4907,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4908,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4909,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4910,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4911,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4912,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4913,"['31.13.93.3', 443, '10.152.152.11', 53340]"
4914,"['10.152.152.11', 53340, '31.13.93.3', 443]"
4915,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4916,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4917,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4918,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4919,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4920,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4921,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4922,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4923,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4924,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4925,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4926,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4927,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4928,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4929,"['31.13.90.2', 443, '10.152.152.11', 59684]"
4930,"['10.152.152.11', 59684, '31.13.90.2', 443]"
4931,"['31.13.93.3', 443, '10.152.152.11', 53340]"
